Sample in Buffer,Sample in Window,TRIGGER,SystolicCore0/serial2mem_opA/uart_ready_rx_out,SystolicCore0/serial2mem_opA/nreset,SystolicCore0/serial2mem_opA/rw,SystolicCore0/serial2mem_opA/valid_i,SystolicCore0/serial2mem_opA/rready_i,SystolicCore0/serial2mem_opA/rvalid_o,SystolicCore0/serial2mem_opA/ready_o,SystolicCore0/serial2mem_opA/single_port_ram_en,SystolicCore0/serial2mem_opA/in_data[3:0],SystolicCore0/serial2mem_opA/out_data[63:0],SystolicCore0/serial2mem_opA/single_port_ram_di_reg[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
204,204,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
205,205,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
206,206,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
207,207,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
208,208,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
209,209,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
210,210,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
211,211,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
212,212,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
213,213,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
214,214,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
215,215,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
216,216,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
217,217,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
218,218,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
219,219,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
220,220,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
221,221,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
222,222,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
223,223,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
224,224,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
225,225,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
226,226,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
227,227,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
228,228,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
229,229,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
230,230,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
231,231,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
232,232,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
233,233,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
234,234,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
235,235,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
236,236,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
237,237,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
238,238,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
239,239,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
240,240,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
241,241,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
242,242,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
243,243,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
244,244,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
245,245,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
246,246,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
247,247,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
248,248,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
249,249,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
250,250,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
251,251,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
252,252,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
253,253,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
254,254,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
255,255,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
256,256,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
257,257,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
258,258,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
259,259,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
260,260,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
261,261,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
262,262,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
263,263,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
264,264,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
265,265,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
266,266,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
267,267,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
268,268,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
269,269,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
270,270,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
271,271,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
272,272,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
273,273,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
274,274,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
275,275,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
276,276,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
277,277,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
278,278,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
279,279,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
280,280,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
281,281,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
282,282,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
283,283,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
284,284,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
285,285,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
286,286,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
287,287,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
288,288,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
289,289,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
290,290,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
291,291,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
292,292,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
293,293,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
294,294,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
295,295,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
296,296,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
297,297,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
